30 300 4
-4 16 8 -13
14 -28 -17 -13
-14 -21 6 -27
-15 -1 12 3
-21 -30 -16 25
9 12 -14 7
8 27 -9 -20
2 14 -12 1
-5 4 16 24
-12 -24 -14 11
-14 -6 -3 16
14 21 -1 -30
-10 -18 -24 27
-7 8 -23 22
-3 -1 23 -5
1 -9 28 8
10 -8 -21 20
29 -7 1 -21
10 -13 18 15
28 -13 -24 2
13 19 -29 23
28 -5 -22 4
11 -7 -1 18
-14 2 -3 -13
21 -25 11 19
-9 -27 6 -28
25 1 18 6
-29 -2 17 16
-13 -2 23 -3
24 16 22 -4
-10 -22 1 27
-7 -12 -24 -11
-5 -12 16 13
-2 -30 -16 -18
13 14 2 -11
-25 -21 9 3
-3 -8 -19 30
-15 16 -12 23
-20 7 -22 11
26 28 5 -25
-9 -14 24 -17
-6 19 -27 -1
-9 27 -6 -23
-30 20 -2 16
20 13 -22 28
10 15 9 -1
16 20 11 10
20 -23 -22 5
12 23 6 -18
27 11 6 -3
23 -16 -20 15
9 -6 -1 7
